,age_group,education,gender,nationality,electoral_district,unit,n
161,16-24,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,552
162,16-24,Secondary education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,2670
163,16-24,Higher education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,468
164,16-24,Basic education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,3260
165,16-24,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,167
166,16-24,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,27
167,16-24,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,138
168,16-24,Secondary education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,673
169,16-24,Higher education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,120
170,16-24,Basic education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,584
171,16-24,Secondary education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,553
172,16-24,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,98
173,16-24,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,516
174,16-24,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,494
175,16-24,Higher education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,94
176,16-24,Basic education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,677
177,16-24,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,341
178,16-24,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,62
179,16-24,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,392
180,16-24,Secondary education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,1060
181,16-24,Higher education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,181
182,16-24,Basic education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,1210
183,16-24,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,441
